"","STATEFIP","Freq"
"1","Alabama",4464813.36000005
"2","Alaska",624107.399999989
"3","Arizona",5229393.12000011
"4","Arkansas",2644827.36000013
"5","California",33856880.3999982
"6","Colorado",4342833.60000019
"7","Connecticut",3349830.95999993
"8","Delaware",780259.200000002
"9","District of Columbia",601287.959999998
"10","Florida",16117207.6799981
"11","Georgia",8293138.56000035
"12","Hawaii",1245330.24
"13","Idaho",1286770.8
"14","Illinois",12441507.1199995
"15","Indiana",6132417.47999976
"16","Iowa",2940766.07999992
"17","Kansas",2709301.55999996
"18","Kentucky",4074141.11999996
"19","Louisiana",4392428.04000007
"20","Maine",1267564.20000002
"21","Maryland",5250341.88000017
"22","Massachusetts",6392413.44000027
"23","Michigan",9972609.36000114
"24","Minnesota",4910734.91999989
"25","Mississippi",2817286.92
"26","Missouri",5621636.16000079
"27","Montana",932669.640000016
"28","Nebraska",1660121.40000004
"29","Nevada",2033657.64
"30","New Hampshire",1222953.48
"31","New Jersey",8395169.16000031
"32","New Mexico",1800036.83999998
"33","New York",18938535.8399967
"34","North Carolina",7992358.92000015
"35","North Dakota",665376.600000005
"36","Ohio",11265392.0400018
"37","Oklahoma",3381546.84000019
"38","Oregon",3475009.4400001
"39","Pennsylvania",12263421.2399998
"40","Rhode Island",1018192.56
"41","South Carolina",4070842.44000023
"42","South Dakota",767464.320000002
"43","Tennessee",5679298.79999984
"44","Texas",20668672.0799887
"45","Utah",2211757.79999999
"46","Vermont",609827.4
"47","Virginia",7119993.71999954
"48","Washington",5929213.07999986
"49","West Virginia",1820043.12
"50","Wisconsin",5316586.80000009
"51","Wyoming",501984.840000003
