"","Spanish","French","German","Italian","Chinese","Filipino, Tagalog","Polish","Korean","Hindi and related","Vietnamese","Japanese","Arabic","Portuguese","Greek","Russian","Persian, Iranian, Farsi","Thai, Siamese, Lao","Navajo","Yiddish, Jewish","Dutch","Armenian","Sub-Saharan Africa","Hebrew, Israeli","Dravidian","Serbo-Croatian, Yugoslavian, Slavonian","Magyar, Hungarian","Czech","Slovak","Swedish","Other East/Southeast Asian","Norwegian","Rumanian","Ukrainian, Ruthenian, Little Russian","Lithuanian","Finnish","Micronesian, Polynesian","Tibetan","Other Malayan","Turkish","Indonesian","Amharic, Ethiopian, etc","Danish","Near East Arabic dialect","Celtic","Siouan languages","Aleut, Eskimo","Albanian","Algonquian","American Indian, n.s","Athapascan","Muskogean","Slovene","Other or not reported","Other Balto-Slavic","Iroquoian","Hawaiian","Shoshonean/Hopi","Keres","Burmese, Lisu, Lolo","Tanoan languages","Other Persian dialects","Pima, Papago","Zuni","African, n.s","Mayan languages","Uralic","Basque","Hamitic","Yuman","Penutian-Sahaptin","Romany, Gypsy","Icelandic","Yaqui and other Sonoran, nec","Other Hokan languages","Other Altaic","Other Indian languages","Aztecan, Nahuatl, Uto-Aztecan","Salish, Flathead","Other Penutian","Kurukh","Caddoan","Caucasian, Georgian, Avar","English","N/A or blank"
"Alabama",43975,19150,15650,5075,2525,1037.5,1050,762.5,3625,7112.5,3812.5,437.5,0,1287.5,362.5,0,2075,0,800,512.5,0,1937.5,0,0,162.5,0,0,0,600,0,0,0,1000,0,0,725,0,437.5,200,0,0,0,0,0,0,0,0,0,0,0,0,0,2062.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska",9362.5,1675,3025,612.5,1062.5,5175,287.5,3512.5,0,0,337.5,0,862.5,237.5,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,712.5,325,0,187.5,337.5,0,0,0,0,0,0,19887.5,0,0,0,2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,87.5,0,0,0,0,0
"Arizona",487800,12750,16637.5,11212.5,6125,2812.5,8300,4087.5,8125,4750,3662.5,6400,975,2700,2462.5,1950,2375,104587.5,312.5,3212.5,0,0,262.5,1462.5,1200,2300,1662.5,0,1262.5,2887.5,1187.5,0,1237.5,225,662.5,0,0,0,500,487.5,0,487.5,0,262.5,187.5,0,0,0,737.5,8525,0,0,750,0,525,550,3087.5,425,0,1237.5,0,6887.5,0,0,0,0,0,0,1512.5,0,0,0,512.5,0,0,0,0,0,0,0,0,0,0,0
"Arkansas",21800,9925,5900,1087.5,900,87.5,2187.5,137.5,362.5,3600,2762.5,487.5,0,0,0,0,4412.5,0,0,137.5,0,1175,0,0,0,0,0,0,675,400,762.5,87.5,137.5,275,0,1850,0,0,0,175,0,400,0,487.5,0,0,0,0,0,0,0,0,587.5,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"California",5456200,120537.5,162900,111375,553912.5,503312.5,28062.5,202175,106312.5,208825,130850,71250,66962.5,30887.5,49200,105575,75500,2450,9187.5,32225,94475,8900,30750,10612.5,18800,17775,9287.5,2075,12762.5,56362.5,6300,12300,4287.5,5325,4575,25900,51475,21487.5,5550,15775,10000,8087.5,14487.5,2987.5,612.5,162.5,1337.5,525,1625,900,0,637.5,550,2525,0,637.5,662.5,0,2300,0,3100,187.5,0,812.5,3150,1175,1150,325,925,0,0,600,0,512.5,0,0,0,0,100,0,0,0,0,0
"Colorado",180150,13237.5,22500,7425,4162.5,2025,3562.5,13275,3375,6675,5100,1612.5,1575,2025,4575,2362.5,1087.5,0,375,787.5,0,225,75,487.5,1237.5,1650,1087.5,0,1162.5,0,1275,337.5,562.5,1537.5,937.5,0,2100,337.5,0,1012.5,0,0,0,0,0,0,0,337.5,525,337.5,0,525,900,0,0,0,1237.5,0,0,0,0,0,0,112.5,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connecticut",177325,57337.5,17675,86987.5,9487.5,3975,37462.5,912.5,8025,3150,1937.5,1337.5,22250,8225,2875,737.5,3500,0,2462.5,2062.5,587.5,500,312.5,450,1325,7650,425,2350,4687.5,987.5,350,1012.5,1412.5,6137.5,412.5,0,0,0,425,350,1675,0,0,937.5,0,0,1125,0,0,0,0,0,137.5,0,0,0,0,0,0,0,0,0,0,0,0,137.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delaware",16450,4037.5,2937.5,3150,7962.5,925,3425,2237.5,800,0,437.5,275,0,712.5,850,0,0,0,0,587.5,0,0,800,1625,0,0,0,0,0,0,1400,0,1412.5,437.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",37412.5,10487.5,2387.5,375,975,1312.5,1262.5,637.5,2687.5,600,0,1125,1475,862.5,687.5,1650,800,0,0,0,712.5,1287.5,0,0,0,662.5,0,0,1187.5,0,0,0,212.5,0,0,0,0,0,475,0,2787.5,0,0,0,0,0,0,0,0,0,0,0,212.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
"Florida",1424162.5,187675,90537.5,63462.5,15050,17825,32925,10400,13900,12737.5,8900,18600,13675,15825,5187.5,7525,9737.5,0,24337.5,9162.5,3675,2925,11525,2925,3275,15925,5537.5,2875,7125,1950,1575,1737.5,1862.5,5600,4562.5,1137.5,0,625,2562.5,1137.5,900,1862.5,0,1887.5,0,0,300,0,0,0,962.5,0,212.5,0,0,0,0,0,1562.5,0,562.5,0,0,0,0,0,0,0,0,0,0,212.5,0,0,0,0,0,0,0,0,0,0,0,0
