"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"Alabama",78625.68,18364.08,4041.24,14794.08,2613.24,2513.28,3827.04,3198.72,1056.72,6754.44,314.16,1099.56,1785,399.84,2898.84,928.2,357,85.68,1328.04,0,0,528.36,357,0,1613.64,314.16,0,0,1642.2,685.44,0,0,0,357,271.32,0,442.68,899.64,0,0,0,0,0,0,0,0,0,414.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska",22148.28,2227.68,3084.48,6754.44,0,8753.64,0,228.48,1099.56,3355.8,799.68,0,1113.84,399.84,0,0,0,16350.6,0,0,0,0,3113.04,0,0,171.36,0,985.32,0,0,0,0,0,0,299.88,0,0,456.96,128.52,1099.56,0,0,0,414.12,0,414.12,0,0,1670.76,0,23676.24,0,0,0,0,0,0,0,0,0,0,0
"Arizona",941965.919999997,15993.6,7696.92,24261.72,11595.36,10852.8,8410.92,10210.2,928.2,9624.72,10438.68,8125.32,11352.6,2698.92,5183.64,1071,1299.48,22019.76,1884.96,7297.08,79639.56,1242.36,2399.04,542.64,1028.16,3612.84,3227.28,1856.4,1956.36,1356.6,1770.72,899.64,2099.16,771.12,1399.44,1813.56,1328.04,1128.12,0,1870.68,0,528.36,971.04,0,1142.4,642.6,0,1028.16,0,157.08,0,71.4,414.12,0,11495.4,0,228.48,0,0,0,0,0
"Arkansas",72199.68,7554.12,4169.76,7082.88,214.2,3798.48,285.6,571.2,228.48,228.48,671.16,0,971.04,499.8,0,399.84,0,0,285.6,0,0,0,9381.96,0,0,114.24,1685.04,0,885.36,0,0,328.44,0,0,0,0,0,0,0,0,0,57.12,0,0,0,285.6,556.92,0,0,0,0,0,0,0,0,0,0,228.48,0,0,0,0
"California",8057747.0400005,127691.76,783286.559999999,148012.2,285342.960000001,659321.879999999,79910.88,388001.880000001,114568.44,298380.600000001,17164.56,114468.48,157951.08,63731.64,38298.96,28031.64,30059.4,46709.88,155623.44,18778.2,2570.4,44410.8,93534,12766.32,147369.6,32729.76,24247.44,11538.24,79025.5200000001,12209.4,94305.12,17835.72,14608.44,913.92,13123.32,47166.84,11495.4,6540.24,25761.12,45124.8,4241.16,1042.44,4055.52,5026.56,24190.32,1884.96,4512.48,10395.84,756.84,228.48,699.72,685.44,0,628.32,0,6497.4,0,0,2099.16,1456.56,0,0
"Colorado",435682.799999998,16193.52,8439.48,25446.96,3984.12,6997.2,7654.08,9039.24,12352.2,6997.2,4441.08,1813.56,10809.96,728.28,5326.44,956.76,1884.96,4098.36,3727.08,1256.64,4755.24,942.48,5412.12,214.2,0,2784.6,771.12,0,0,685.44,8239.56,1370.88,0,1071,3612.84,0,414.12,2099.16,1456.56,771.12,0,599.76,514.08,0,0,728.28,428.4,685.44,0,899.64,0,0,85.68,0,542.64,0,0,0,0,385.56,0,0
"Connecticut",281415.960000001,52393.32,14337.12,14165.76,20149.08,7925.4,38498.88,1499.4,9196.32,6797.28,31558.8,4084.08,2941.68,28331.52,3769.92,3855.6,10195.92,628.32,2456.16,2427.6,299.88,1056.72,5911.92,1142.4,1342.32,1328.04,2670.36,3684.24,1228.08,728.28,1356.6,4126.92,0,4769.52,1542.24,999.6,599.76,157.08,514.08,228.48,0,628.32,599.76,1599.36,357,3184.44,556.92,1056.72,0,0,0,0,0,799.68,0,0,0,0,0,0,0,0
"Delaware",34471.92,4798.08,6697.32,3741.36,4683.84,656.88,3170.16,1713.6,242.76,1156.68,2484.72,0,0,971.04,1113.84,0,1485.12,0,856.8,656.88,0,399.84,728.28,142.8,0,0,171.36,499.8,571.2,985.32,0,371.28,0,0,285.6,0,1071,0,0,0,0,0,0,699.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",66587.64,11938.08,5569.2,1770.72,1827.84,471.24,4212.6,185.64,2299.08,585.48,0,2713.2,1170.96,471.24,942.48,2713.2,299.88,328.44,371.28,1699.32,142.8,299.88,114.24,214.2,0,799.68,0,0,0,556.92,0,0,6797.28,442.68,328.44,0,0,371.28,442.68,0,0,0,0,0,0,371.28,0,0,0,0,0,0,371.28,0,0,0,0,0,0,0,0,0
"Florida",2439252.48000003,324898.56,32501.28,92220.24,47352.48,38213.28,69357.96,27817.44,22762.32,15736.56,25261.32,30287.88,13194.72,66830.4,10153.08,4483.92,15308.16,8896.44,7711.2,12409.32,1913.52,17435.88,12323.64,15850.8,5383.56,11452.56,7025.76,7125.72,871.08,9381.96,1213.8,13151.88,728.28,2299.08,3798.48,628.32,4483.92,985.32,1884.96,1699.32,171.36,1071,5083.68,4284,99.96,2556.12,1770.72,3498.6,1213.8,0,0,185.64,942.48,456.96,0,0,0,0,0,0,0,0
"Georgia",420931.56,49180.32,16878.96,23276.4,24675.84,10024.56,5440.68,17493,10053.12,33972.12,599.76,11138.4,6868.68,6511.68,6483.12,16293.48,2970.24,4712.4,6297.48,6183.24,828.24,3655.68,7154.28,628.32,285.6,2798.88,1913.52,0,2641.8,1642.2,0,1999.2,1670.76,199.92,342.72,628.32,7211.4,0,0,0,5954.76,0,685.44,1899.24,0,0,813.96,856.8,0,0,0,0,0,985.32,0,0,0,0,0,0,0,0
