"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"Alabama",167197.06,7381.4,7304.58,9261.82,4832.98,10183.66,3376.74,4936.52,681.36,4869.72,3694.04,594.52,1429.52,3824.3,133.6,1466.26,317.3,664.66,2020.7,0,0,0,808.28,207.08,0,0,0,694.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska",24709.32,1315.96,387.44,1158.98,18667.26,4315.28,1305.94,1733.46,2267.86,0,621.24,1142.28,2525.04,0,537.74,1783.56,0,0,404.14,1169,0,444.22,875.08,0,0,5404.12,0,0,0,0,771.54,0,0,0,8149.6,0,0,0,0,0,0,0,0,0,0,631.26,0,0,28333.22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arizona",1202283.1,18994.58,27598.42,10430.82,22868.98,23700.64,25627.82,12852.32,5467.58,12034.02,4939.86,8757.48,13807.56,3537.06,6028.7,5494.3,10427.48,1993.98,2822.3,89084.4799999999,4619.22,587.84,4749.48,6439.52,1533.06,7521.68,2171,1890.44,577.82,2538.4,0,0,237.14,0,11262.48,748.16,437.54,878.42,467.6,9736.1,8016,0,678.02,778.22,497.66,444.22,200.4,761.52,207.08,838.34,0,1038.74,1329.32,253.84,0,0,0,911.82,754.84,0,0,0
"Arkansas",114986.18,4021.36,2498.32,3052.76,5804.92,5531.04,4154.96,734.8,1152.3,2034.06,0,2107.54,1369.4,724.78,237.14,263.86,0,0,0,0,0,0,4041.4,1663.32,0,0,0,2010.68,0,968.6,901.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.18,0,0,0,0,0,0,0,0,0,267.2,0,270.54,0,0,0
"California",9986486.44000002,143222.54,950604.080000002,402323.04,743557.480000001,110240.04,490388.819999999,384798.06,146602.62,157484.34,98426.4599999999,59228.22,41118.74,72681.74,16262.46,144364.82,29832.88,28693.94,220373.2,841.68,42738.64,38566.98,72341.0600000001,39572.32,4425.5,55781.34,178085.46,29174.9,6609.86,27020.6,90133.24,2244.48,89929.5000000001,1793.58,10694.68,14432.14,10430.82,13042.7,51175.48,33556.98,1519.7,20163.58,6369.38,12775.5,2628.58,3841,470.94,981.96,0,2171,1773.54,5978.6,7735.44,3069.46,587.84,0,718.1,935.2,534.4,0,0,0
"Colorado",582322.320000001,15965.2,10571.1,8493.62,3977.94,19418.76,22408.06,16583.1,11065.42,9842.98,1990.64,5734.78,4883.08,647.96,3794.24,5217.08,4542.4,2899.12,3881.08,2992.64,4271.86,6125.56,2254.5,4395.44,210.42,1245.82,668,2301.26,835,684.7,1576.48,0,6332.64,621.24,961.92,0,3066.12,3857.7,724.78,0,961.92,701.4,1593.18,2942.54,1275.88,898.46,347.36,965.26,0,0,651.3,734.8,0,267.2,0,293.92,0,0,0,0,0,0
"Connecticut",371047.28,70777.94,23510.26,34258.38,10888.4,8066.1,5384.08,4659.3,13476.9,11606.5,7815.6,40123.42,6052.08,36506.2,40711.26,3039.4,5380.74,6185.68,1816.96,0,2104.2,0,4645.94,190.38,0,0,2424.84,2692.04,2585.16,1933.86,0,1192.38,3246.48,0,0,1967.26,1402.8,1503,477.62,417.5,0,0,1486.3,1967.26,668,1038.74,818.3,0,0,808.28,0,1145.62,958.58,0,0,0,0,380.76,0,0,0,0
"Delaware",75771.24,6773.52,3824.3,9652.6,2301.26,5297.24,354.04,0,183.7,76.82,708.08,1422.84,4632.58,0,1152.3,0,0,220.44,0,0,0,0,0,0,0,0,0,1659.98,213.76,0,0,0,0,0,0,0,0,0,0,0,0,0,177.02,0,0,0,0,0,0,0,587.84,63.46,380.76,0,0,0,0,0,0,0,0,0
"District of Columbia",43900.96,12414.78,8233.1,4652.62,821.64,2388.1,901.8,604.54,223.78,971.94,0,2241.14,1482.96,1923.84,848.36,1342.68,774.88,0,831.66,0,0,2237.8,0,0,0,0,0,0,621.24,0,0,150.3,0,691.38,0,567.8,0,490.98,0,0,0,0,334,427.52,0,0,0,0,0,207.08,611.22,263.86,0,0,0,0,0,0,0,0,0,0
"Florida",3580052.48,447443.1,65998.4,96422.46,67728.52,68349.76,41038.58,24562.36,23062.7,34141.48,20347.28,53710.54,14696,95931.48,19528.98,11679.98,26419.4,13914.44,7842.32,0,23289.82,457.58,12214.38,2785.56,7040.72,4946.54,4916.48,18630.52,5511,7020.68,0,11519.66,4802.92,0,1750.16,10541.04,6008.66,12862.34,4352.02,0,634.6,2458.24,3824.3,2508.34,3386.76,3981.28,230.46,921.84,0,3827.64,1519.7,1820.3,0,2955.9,0,0,263.86,647.96,430.86,0,0,0
