"","Spanish","Hindi and related","Chinese","French","Filipino, Tagalog","German","Dravidian","Arabic","Sub-Saharan Africa","Vietnamese","Portuguese","Korean","Russian","Italian","Japanese","Polish","Persian, Iranian, Farsi","Greek","Tibetan","Navajo","Amharic, Ethiopian, etc","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Dutch","Armenian","Rumanian","Other East/Southeast Asian","Ukrainian, Ruthenian, Little Russian","Indonesian","Turkish","Burmese, Lisu, Lolo","Serbo-Croatian, Yugoslavian, Slavonian","Micronesian, Polynesian","Albanian","Hamitic","Other Balto-Slavic","Native","Swedish","Other Persian dialects","Magyar, Hungarian","Czech","Lithuanian","Aleut, Eskimo","Near East Arabic dialect","Other or not reported","Aztecan, Nahuatl, Uto-Aztecan","Siouan languages","Other Malayan","Finnish","Hawaiian","Norwegian","Other Afro-Asiatic languages","Athapascan","Slovak","Danish","Muskogean","Keres","Other Altaic","Celtic","Iroquoian","Algonquian","Zuni","English","N/A or blank"
"Alabama",168897.6,7475.85,13886.1,5344.65,3879.45,7159.5,3013.65,3979.35,5328,1348.65,1481.85,13303.35,2214.45,732.6,2580.75,0,1831.5,1148.85,0,0,1481.85,0,1015.65,0,1415.25,0,549.45,1248.75,183.15,0,216.45,0,0,0,0,0,0,1448.55,0,0,0,0,0,0,0,0,0,0,0,1182.15,0,0,0,0,0,216.45,283.05,0,0,616.05,83.25,0,0,0,0
"Alaska",20995.65,1248.75,0,2747.25,26806.5,3912.75,616.05,0,399.6,249.75,0,782.55,6160.5,715.95,1132.2,0,0,0,27089.55,0,0,0,682.65,0,0,0,316.35,0,0,0,0,0,0,10023.3,0,0,0,482.85,0,0,83.25,0,0,26673.3,0,0,0,0,16.65,0,0,0,0,0,0,0,0,0,0,582.75,0,0,0,0,0
"Arizona",1399615.65,39860.1,36496.8,13586.4,20462.85,16533.45,29387.25,18947.7,10123.2,25641,2197.8,9740.25,3396.6,10722.6,5527.8,11438.55,3379.95,2031.3,233.1,78255,799.2,1781.55,6526.8,149.85,1515.15,1948.05,4978.35,432.9,482.85,1981.35,1381.95,4179.15,7209.45,6410.25,299.7,849.15,1148.85,1581.75,999,2231.1,1048.95,1148.85,815.85,0,715.95,0,13869.45,3446.55,732.6,199.8,333,949.05,16.65,9090.9,0,349.65,0,149.85,0,0,0,0,0,0,0
"Arkansas",138145.05,3596.4,3263.4,1764.9,7226.1,3213.45,965.7,1415.25,1748.25,1714.95,616.05,1481.85,1548.45,1082.25,3363.3,549.45,0,0,3429.9,0,0,0,1148.85,0,1365.3,0,566.1,49.95,366.3,0,266.4,0,349.65,6959.7,0,0,216.45,0,1781.55,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082.25,0,0,0,0,0
"California",10352553.75,577355.400000001,1239142.95,145953.9,848217.600000002,98867.7000000001,153945.9,161471.7,47202.75,606010.049999999,103896,336629.699999999,164951.55,63070.2,135281.25,23976,211371.75,15817.5,70978.95,166.5,33616.35,30086.55,78105.15,2730.6,23193.45,193689.45,33749.55,71262,26739.9,35447.85,12604.05,25041.6,14368.95,36430.2,4745.25,3646.35,10639.35,18814.5,9773.55,7925.4,10589.4,10572.75,4795.2,133.2,20263.05,5844.15,699.3,66.6,10223.1,4462.2,3146.85,3146.85,2114.55,283.05,2214.45,6993,0,66.6,2614.05,1315.35,0,1848.15,0,0,0
"Colorado",596536.2,24941.7,22693.95,25341.3,14002.65,22494.15,10989,11804.85,5511.15,28971,3296.7,13020.3,19180.8,3063.6,5228.1,2614.05,3463.2,399.6,2214.45,2813.85,7509.15,2281.05,3596.4,0,9257.4,416.25,1565.1,1298.7,1365.3,2147.85,0,4445.55,3546.45,1515.15,0,249.75,1265.4,216.45,1481.85,599.4,3396.6,183.15,949.05,0,649.35,2464.2,149.85,0,4045.95,366.3,0,2047.95,216.45,0,0,0,0,482.85,0,316.35,0,0,0,0,0
"Connecticut",400698.9,51631.65,32883.75,35098.2,10039.95,9623.7,8974.35,10039.95,8058.6,10273.05,29620.35,7092.9,4828.5,23842.8,2314.35,28271.7,2414.25,7276.05,0,0,0,1465.2,2897.1,116.55,2780.55,116.55,1581.75,3213.45,2331,3396.6,632.7,466.2,1665,66.6,8957.7,0,1548.45,0,399.6,1498.5,2797.2,1015.65,1265.4,0,0,299.7,0,0,0,249.75,0,366.3,0,0,1681.65,632.7,0,0,0,0,0,166.5,0,0,0
"Delaware",60755.85,11671.65,5910.75,8574.75,1265.4,20129.85,1948.05,4578.75,2031.3,0,2064.6,2064.6,1115.55,1498.5,0,2147.85,0,0,0,0,0,0,0,0,216.45,0,0,0,0,0,499.5,0,0,0,0,0,0,0,0,0,0,0,83.25,0,0,16.65,0,0,0,765.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",56227.05,4262.4,2331,6993,16.65,1598.4,765.9,3846.15,4878.45,682.65,682.65,2547.45,1781.55,865.8,266.4,299.7,2747.25,549.45,0,0,4545.45,416.25,0,0,0,0,0,449.55,0,133.2,499.5,0,699.3,0,0,0,83.25,0,849.15,0,0,0,566.1,0,0,299.7,0,0,0,0,0,0,432.9,0,0,699.3,0,0,0,0,0,0,0,0,0
"Florida",4183412.39999999,115351.2,77305.95,501448.05,68997.6,78438.15,33982.65,64718.55,20812.5,90892.35,138777.75,13802.85,73826.1,38211.75,9640.35,17282.7,7259.4,34648.65,899.1,0,3196.8,22410.9,13220.1,9324,16849.8,8258.4,11388.6,7192.8,3396.6,5594.4,8191.8,1681.65,25141.5,0,9906.75,0,11471.85,2963.7,1648.35,0,6277.05,1831.5,4095.9,0,1065.6,1048.95,0,0,216.45,2214.45,0,882.45,2114.55,0,3529.8,1165.5,882.45,3180.15,449.55,582.75,499.5,183.15,0,0,0
