"","Spanish","French","German","Italian","Chinese","Filipino, Tagalog","Polish","Korean","Hindi and related","Vietnamese","Japanese","Arabic","Portuguese","Greek","Russian","Persian, Iranian, Farsi","Thai, Siamese, Lao","Navajo","Yiddish, Jewish","Dutch","Armenian","Sub-Saharan Africa","Hebrew, Israeli","Dravidian","Serbo-Croatian, Yugoslavian, Slavonian","Magyar, Hungarian","Czech","Slovak","Swedish","Other East/Southeast Asian","Norwegian","Rumanian","Ukrainian, Ruthenian, Little Russian","Lithuanian","Finnish","Micronesian, Polynesian","Tibetan","Other Malayan","Turkish","Indonesian","Amharic, Ethiopian, etc","Danish","Near East Arabic dialect","Celtic","Siouan languages","Aleut, Eskimo","Albanian","Algonquian","American Indian, n.s","Athapascan","Muskogean","Slovene","Other or not reported","Other Balto-Slavic","Iroquoian","Hawaiian","Shoshonean/Hopi","Keres","Burmese, Lisu, Lolo","Tanoan languages","Other Persian dialects","Pima, Papago","Zuni","African, n.s","Mayan languages","Uralic","Basque","Hamitic","Yuman","Penutian-Sahaptin","Romany, Gypsy","Icelandic","Yaqui and other Sonoran, nec","Other Hokan languages","Other Altaic","Other Indian languages","Aztecan, Nahuatl, Uto-Aztecan","Salish, Flathead","Other Penutian","Kurukh","Caddoan","Caucasian, Georgian, Avar","English","N/A or blank"
"Alabama",26600,13537.5,11125,2600,1525,487.5,887.5,675,2025,4337.5,1750,437.5,0,1287.5,0,0,1550,0,800,275,0,1650,0,0,162.5,0,0,0,600,0,0,0,637.5,0,0,287.5,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska",7812.5,1675,1800,612.5,962.5,4837.5,0,1937.5,0,0,250,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.5,325,0,0,337.5,0,0,0,0,0,0,14862.5,0,0,0,2612.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,87.5,0,0,0,0,0
"Arizona",292487.5,8950,9462.5,6800,4125,2275,5800,2362.5,6012.5,3725,2162.5,3475,975,937.5,2175,1787.5,1850,56500,312.5,1437.5,0,0,262.5,1462.5,1200,937.5,825,0,1000,2762.5,1187.5,0,787.5,225,412.5,0,0,0,300,200,0,262.5,0,0,0,0,0,0,737.5,5750,0,0,0,0,525,550,2500,425,0,1237.5,0,5412.5,0,0,0,0,0,0,1237.5,0,0,0,512.5,0,0,0,0,0,0,0,0,0,0,0
"Arkansas",14050,6112.5,2987.5,687.5,900,87.5,812.5,137.5,362.5,1675,1287.5,487.5,0,0,0,0,1887.5,0,0,137.5,0,762.5,0,0,0,0,0,0,675,400,0,87.5,0,275,0,637.5,0,0,0,87.5,0,0,0,487.5,0,0,0,0,0,0,0,0,587.5,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"California",2905662.5,76150,89287.5,70200,333662.5,371362.5,18087.5,132850,78150,139450,82625,51850,40000,19462.5,30750,74837.5,39850,1662.5,5825,12187.5,57387.5,8312.5,21125,8550,10425,8125,6325,1762.5,7612.5,28662.5,3762.5,7912.5,1262.5,387.5,3512.5,13162.5,17025,13287.5,4187.5,10837.5,6750,3500,9237.5,1937.5,612.5,162.5,400,525,1625,900,0,412.5,550,1525,0,350,662.5,0,2300,0,2037.5,187.5,0,812.5,2562.5,0,900,325,762.5,0,0,225,0,512.5,0,0,0,0,100,0,0,0,0,0
"Colorado",139612.5,9750,13950,4987.5,3525,1575,2062.5,8775,2062.5,3750,3112.5,1462.5,750,1575,3187.5,1725,1087.5,0,0,787.5,0,225,75,487.5,937.5,937.5,562.5,0,487.5,0,1200,0,262.5,225,375,0,1275,337.5,0,1012.5,0,0,0,0,0,0,0,337.5,525,337.5,0,300,450,0,0,0,1162.5,0,0,0,0,0,0,112.5,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connecticut",90412.5,37550,8225,46225,5912.5,2900,22962.5,812.5,5162.5,1787.5,1287.5,812.5,9712.5,4375,1862.5,737.5,2137.5,0,1687.5,1325,587.5,500,312.5,450,425,3425,425,1962.5,2662.5,600,175,525,425,1450,412.5,0,0,0,425,350,975,0,0,937.5,0,0,287.5,0,0,0,0,0,137.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delaware",10662.5,2400,2375,2737.5,5237.5,637.5,2862.5,637.5,562.5,0,362.5,275,0,712.5,850,0,0,0,0,0,0,0,0,237.5,0,0,0,0,0,0,1400,0,737.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",23225,7400,2150,375,787.5,475,275,487.5,1512.5,600,0,1125,987.5,237.5,537.5,1650,800,0,0,0,450,837.5,0,0,0,662.5,0,0,487.5,0,0,0,212.5,0,0,0,0,0,475,0,2787.5,0,0,0,0,0,0,0,0,0,0,0,212.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida",632387.5,118125,44325,42025,11737.5,12637.5,21962.5,9037.5,10362.5,8250,5137.5,13512.5,8150,10925,2375,5975,7637.5,0,13575,5800,1775,2625,7200,2500,2375,6200,4225,2425,3537.5,1287.5,1162.5,1137.5,1162.5,3125,3400,862.5,0,0,1925,637.5,625,1012.5,0,900,0,0,0,0,0,0,475,0,212.5,0,0,0,0,0,1200,0,562.5,0,0,0,0,0,0,0,0,0,0,212.5,0,0,0,0,0,0,0,0,0,0,0,0
