"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"Alabama",52664.64,13751.64,2727.48,10967.04,1627.92,885.36,2213.4,1242.36,1056.72,3855.6,314.16,1099.56,1370.88,399.84,1556.52,928.2,357,0,842.52,0,0,0,357,0,856.8,314.16,0,0,1642.2,685.44,0,0,0,357,271.32,0,442.68,456.96,0,0,0,0,0,0,0,0,0,414.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska",14451.36,1428,685.44,4112.64,0,3898.44,0,114.24,1099.56,1970.64,628.32,0,1113.84,0,0,0,0,11538.24,0,0,0,0,928.2,0,0,0,0,571.2,0,0,0,0,0,0,299.88,0,0,456.96,128.52,114.24,0,0,0,414.12,0,171.36,0,0,685.44,0,14637,0,0,0,0,0,0,0,0,0,0,0
"Arizona",498943.199999998,8682.24,3598.56,13437.48,6897.24,7154.28,5769.12,4455.36,771.12,4912.32,6897.24,5097.96,5583.48,1813.56,3984.12,728.28,699.72,16536.24,1056.72,4698.12,56548.8000000001,899.64,1627.92,542.64,1028.16,1299.48,1642.2,714,699.72,871.08,1570.8,556.92,913.92,771.12,642.6,828.24,871.08,828.24,0,428.4,0,528.36,471.24,0,271.32,299.88,0,1028.16,0,157.08,0,71.4,414.12,0,9453.36,0,228.48,0,0,0,0,0
"Arkansas",39455.64,5255.04,3441.48,5512.08,214.2,2127.72,285.6,571.2,57.12,228.48,671.16,0,971.04,385.56,0,399.84,0,0,0,0,0,0,2427.6,0,0,114.24,1685.04,0,571.2,0,0,328.44,0,0,0,0,0,0,0,0,0,0,0,0,0,285.6,556.92,0,0,0,0,0,0,0,0,0,0,228.48,0,0,0,0
"California",3364182.35999999,82381.32,387416.400000001,76883.5200000001,163777.32,345918.720000001,57662.6400000001,172559.52,69786.36,149468.76,10581.48,53178.72,96875.5200000001,30859.08,32287.08,16679.04,16779,22748.04,75641.16,11766.72,2156.28,25604.04,32758.32,9639,62960.52,13408.92,13194.72,4983.72,29431.08,6997.2,19863.48,7896.84,9110.64,913.92,8682.24,28617.12,5669.16,4526.76,16036.44,16350.6,2099.16,385.56,2641.8,899.64,9367.68,1056.72,3841.32,4726.68,756.84,228.48,456.96,685.44,0,328.44,0,3998.4,0,0,971.04,1128.12,0,0
"Colorado",267207.36,11324.04,6268.92,16336.32,3398.64,4084.08,4483.92,3984.12,8396.64,2841.72,3027.36,1170.96,4426.8,342.72,5326.44,428.4,942.48,3527.16,2656.08,599.76,3512.88,942.48,2070.6,214.2,0,2170.56,342.72,0,0,685.44,2970.24,599.76,0,1071,2413.32,0,414.12,1413.72,799.68,514.08,0,599.76,171.36,0,0,728.28,428.4,685.44,0,813.96,0,0,85.68,0,542.64,0,0,0,0,0,0,0
"Connecticut",126463.68,35471.52,6754.44,7425.6,13651.68,4655.28,23819.04,913.92,6968.64,1585.08,16479.12,2456.16,2042.04,15536.64,3384.36,2127.72,3798.48,628.32,1356.6,1699.32,299.88,471.24,2156.28,942.48,871.08,685.44,2356.2,2341.92,0,528.36,0,1085.28,0,2370.48,556.92,228.48,271.32,0,514.08,228.48,0,271.32,357,1128.12,357,1570.8,85.68,1056.72,0,0,0,0,0,485.52,0,0,0,0,0,0,0,0
"Delaware",16679.04,3170.16,2856,1970.64,2099.16,0,2384.76,571.2,242.76,528.36,2241.96,0,0,971.04,1113.84,0,1242.36,0,0,0,0,0,371.28,142.8,0,0,171.36,499.8,0,371.28,0,0,0,0,285.6,0,242.76,0,0,0,0,0,0,285.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",37242.24,9524.76,4155.48,1770.72,1285.2,0,3698.52,185.64,1228.08,299.88,0,2184.84,328.44,257.04,942.48,1670.76,299.88,0,371.28,1699.32,142.8,0,114.24,214.2,0,799.68,0,0,0,0,0,0,2627.52,285.6,328.44,0,0,371.28,442.68,0,0,0,0,0,0,371.28,0,0,0,0,0,0,371.28,0,0,0,0,0,0,0,0,0
"Florida",1039098.48,154623.84,15907.92,48966.12,29274,20249.04,43968.12,9539.04,15022.56,7668.36,17150.28,17407.32,7811.16,39584.16,6168.96,3127.32,8439.48,3570,3184.44,6954.36,771.12,9924.6,7125.72,11138.4,3370.08,5440.68,3427.2,2870.28,314.16,7239.96,485.52,6982.92,0,1013.88,2870.28,0,2356.2,285.6,985.32,157.08,0,585.48,4598.16,2127.72,0,1328.04,1313.76,1899.24,742.56,0,0,185.64,942.48,456.96,0,0,0,0,0,0,0,0
