"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"Alabama",85403.7999999999,6055.42,4712.74,5607.86,2965.92,7508.32,768.2,2955.9,681.36,2999.32,2902.46,0,1429.52,2835.66,133.6,718.1,317.3,454.24,868.4,0,0,0,140.28,207.08,0,0,0,400.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska",13072.76,1315.96,387.44,581.16,12508.3,2798.92,574.48,277.22,2037.4,0,621.24,1142.28,2044.08,0,310.62,704.74,0,0,404.14,1169,0,243.82,480.96,0,0,4054.76,0,0,0,0,454.24,0,0,0,6262.5,0,0,0,0,0,0,0,0,0,0,427.52,0,0,20794.84,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arizona",575685.739999998,11883.72,12448.18,7317.94,11810.24,13426.8,10868.36,6943.86,4368.72,8266.5,3573.8,6319.28,10834.96,2548.42,3176.34,2384.76,9011.32,1376.08,504.34,70260.24,1382.76,587.84,1790.24,4458.9,1336,4789.56,1262.52,651.3,293.92,1158.98,0,0,237.14,0,11262.48,0,0,534.4,156.98,6469.58,7935.84,0,400.8,581.16,247.16,444.22,0,761.52,207.08,604.54,0,517.7,557.78,253.84,0,0,0,911.82,0,0,0,0
"Arkansas",61656.4,2782.22,2341.34,2307.94,3891.1,3112.88,3436.86,370.74,1152.3,1576.48,0,1369.4,694.72,724.78,237.14,263.86,0,0,0,0,0,0,881.76,1663.32,0,0,0,731.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.18,0,0,0,0,0,0,0,0,0,267.2,0,270.54,0,0,0
"California",3953220.66000002,92507.98,382109.36,205286.42,314968.68,48333.14,167424.18,161245.18,82257.52,70280.28,65220.18,34846.22,27401.36,35280.42,7835.64,75530.76,16593.12,10337.3,76526.08,841.68,21122.16,20029.98,27598.42,23162.9,2294.58,25925.08,55333.78,10851.66,2682.02,10303.9,32969.14,1179.02,24769.44,818.3,5020.02,7708.72,8206.38,5607.86,16102.14,11299.22,1519.7,9235.1,2875.74,7742.12,1376.08,1947.22,470.94,564.46,0,1573.14,1305.94,2989.3,2117.56,1128.92,0,0,517.7,688.04,534.4,0,0,0
"Colorado",306418.28,11556.4,5891.76,6860.36,2518.36,10320.6,10868.36,4896.44,6806.92,6700.04,1990.64,3877.74,4355.36,647.96,2324.64,2758.84,2525.04,2127.58,594.52,2130.92,2645.28,4442.2,1118.9,3313.28,210.42,0,0,2074.14,410.82,297.26,223.78,0,2167.66,621.24,601.2,0,3066.12,1118.9,724.78,0,961.92,701.4,728.12,831.66,915.16,898.46,0,965.26,0,0,420.84,457.58,0,267.2,0,293.92,0,0,0,0,0,0
"Connecticut",173733.44,36706.6,13446.84,20237.06,6219.08,3610.54,3807.6,2762.18,8951.2,5440.86,7374.72,18744.08,3697.38,19007.94,21920.42,1847.02,2815.62,4228.44,781.56,0,1656.64,0,1763.52,190.38,0,0,1867.06,0,1877.08,1352.7,0,621.24,1730.12,0,0,1486.3,1299.26,577.82,310.62,0,0,0,985.3,517.7,668,240.48,818.3,0,0,167,0,350.7,554.44,0,0,0,0,380.76,0,0,0,0
"Delaware",36763.38,3393.44,2922.5,6018.68,527.72,2237.8,0,0,183.7,76.82,290.58,768.2,3209.74,0,1152.3,0,0,220.44,0,0,0,0,0,0,0,0,0,778.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.46,380.76,0,0,0,0,0,0,0,0,0
"District of Columbia",24973.18,9128.22,5754.82,3790.9,614.56,1830.32,901.8,604.54,0,724.78,0,1773.54,1138.94,1386.1,521.04,1342.68,774.88,0,641.28,0,0,1923.84,0,0,0,0,0,0,621.24,0,0,0,0,440.88,0,0,0,0,0,0,0,0,0,243.82,0,0,0,0,0,207.08,611.22,0,0,0,0,0,0,0,0,0,0,0
"Florida",1608053.02,207494.16,34335.2,46579.64,40420.68,38379.94,18627.18,11579.78,13861,20384.02,15591.12,30383.98,8603.84,58429.96,13146.24,6322.62,18015.96,8012.66,3507,0,11823.6,457.58,4692.7,1596.52,5307.26,3423.5,1943.88,11686.66,2842.34,3714.08,0,4909.8,1252.5,0,1232.46,5043.4,2835.66,5878.4,1603.2,0,384.1,2040.74,1222.44,2060.78,1639.94,1736.8,230.46,921.84,0,581.16,711.42,287.24,0,1626.58,0,0,263.86,647.96,430.86,0,0,0
"Georgia",364834.88,39355.22,19969.86,44562.28,5547.74,19221.7,21472.86,25507.58,3951.22,2722.1,13349.98,6279.2,18934.46,11629.88,3446.88,5203.72,6118.88,1065.46,5043.4,237.14,1616.56,8152.94,875.08,2314.62,287.24,407.48,0,4522.36,0,3737.46,1152.3,1209.08,861.72,1249.16,300.6,1108.88,1806.94,808.28,0,0,0,0,0,0,447.56,0,875.08,0,0,0,611.22,627.92,698.06,257.18,0,0,0,0,0,0,0,0
"Hawaii",16706.68,3022.7,11466.22,5113.54,44435.36,3947.88,3159.64,3340,1339.34,1536.4,0,704.74,0,925.18,297.26,29235.02,0,975.28,0,0,110.22,0,965.26,531.06,0,13537.02,728.12,657.98,0,0,0,0,90.18,0,0,0,0,0,2505,0,0,417.5,330.66,0,0,273.88,0,10698.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idaho",51783.36,3974.6,3209.74,621.24,270.54,2441.54,637.94,1322.64,2538.4,360.72,470.94,0,0,921.84,0,2351.36,3707.4,283.9,0,0,0,0,0,0,0,1806.94,0,156.98,0,287.24,0,0,0,0,567.8,217.1,0,0,0,0,0,0,0,0,0,263.86,0,0,0,0,614.56,0,0,0,0,0,0,0,0,0,0,0
"Illinois",699973.820000001,30106.76,41890.28,84071.14,46937.02,32618.44,8557.08,29021.26,28737.36,20280.48,25026.62,17528.32,12628.54,2631.92,107384.34,4689.36,18707.34,16032,2628.58,0,3416.82,3650.62,1716.76,6072.12,1189.04,380.76,253.84,791.58,6215.74,10981.92,0,4425.5,2070.8,2171,0,2464.92,16289.18,2104.2,0,4038.06,0,571.14,11305.9,1372.74,3022.7,93.52,2702.06,0,0,501,303.94,574.48,0,1002,0,0,0,0,0,0,0,0
"Indiana",132604.68,8293.22,14522.32,10641.24,2969.26,31062,1870.4,3994.64,4605.86,5554.42,2040.74,477.62,7094.16,1048.76,5804.92,3577.14,3991.3,5333.98,2224.44,0,310.62,330.66,744.82,1406.14,1038.74,0,210.42,3981.28,374.08,1239.14,664.66,0,0,2802.26,0,370.74,2561.78,0,0,0,247.16,237.14,334,0,56.78,0,557.78,0,0,0,835,0,0,0,0,323.98,0,143.62,273.88,0,0,0
