"","Spanish","Hindi and related","Chinese","French","Filipino, Tagalog","German","Dravidian","Arabic","Sub-Saharan Africa","Vietnamese","Portuguese","Korean","Russian","Italian","Japanese","Polish","Persian, Iranian, Farsi","Greek","Tibetan","Navajo","Amharic, Ethiopian, etc","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Dutch","Armenian","Rumanian","Other East/Southeast Asian","Ukrainian, Ruthenian, Little Russian","Indonesian","Turkish","Burmese, Lisu, Lolo","Serbo-Croatian, Yugoslavian, Slavonian","Micronesian, Polynesian","Albanian","Hamitic","Other Balto-Slavic","Native","Swedish","Other Persian dialects","Magyar, Hungarian","Czech","Lithuanian","Aleut, Eskimo","Near East Arabic dialect","Other or not reported","Aztecan, Nahuatl, Uto-Aztecan","Siouan languages","Other Malayan","Finnish","Hawaiian","Norwegian","Other Afro-Asiatic languages","Athapascan","Slovak","Danish","Muskogean","Keres","Other Altaic","Celtic","Iroquoian","Algonquian","Zuni","English","N/A or blank"
"Alabama",72993.6,4378.95,10939.05,4162.5,1681.65,3996,949.05,1232.1,2763.9,999,582.75,6376.95,1881.45,0,1831.5,0,0,932.4,0,0,199.8,0,532.8,0,183.15,0,549.45,0,183.15,0,0,0,0,0,0,0,0,183.15,0,0,0,0,0,0,0,0,0,0,0,649.35,0,0,0,0,0,0,0,0,0,616.05,83.25,0,0,0,0
"Alaska",12104.55,582.75,0,2747.25,13086.9,2697.3,616.05,0,0,149.85,0,0,1964.7,715.95,0,0,0,0,4612.05,0,0,0,0,0,0,0,316.35,0,0,0,0,0,0,6210.45,0,0,0,482.85,0,0,0,0,0,22427.55,0,0,0,0,16.65,0,0,0,0,0,0,0,0,0,0,432.9,0,0,0,0,0
"Arizona",619596.45,20396.25,19380.6,9557.1,8707.95,7142.85,15934.05,12187.8,6443.55,7442.55,1365.3,6260.4,1531.8,4562.1,2047.95,5194.8,1531.8,915.75,233.1,66783.15,482.85,965.7,2380.95,149.85,199.8,815.85,1182.15,0,482.85,1498.5,699.3,765.9,3846.15,1798.2,299.7,283.05,299.7,1581.75,516.15,2231.1,299.7,566.1,516.15,0,133.2,0,13669.65,2081.25,316.35,199.8,333,682.65,16.65,8674.65,0,0,0,66.6,0,0,0,0,0,0,0
"Arkansas",53346.6,1648.35,1914.75,1398.6,5710.95,1431.9,965.7,1415.25,1098.9,382.95,382.95,599.4,1098.9,0,1398.6,149.85,0,0,965.7,0,0,0,499.5,0,216.45,0,566.1,49.95,0,0,0,0,0,4362.3,0,0,0,0,1165.5,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082.25,0,0,0,0,0
"California",4070275.64999999,276556.5,457258.95,82284.3,294605.1,56410.2,85864.05,74259,23709.6,166283.55,48851.1,105277.95,70129.8,30902.4,64602,12620.7,71028.9,8341.65,34798.5,166.5,14335.65,14985,33133.5,2214.45,8158.5,62287.65,15318,28687.95,11388.6,17482.5,8857.8,9107.55,5894.1,18881.1,715.95,482.85,1981.35,7375.95,5244.75,3829.5,5561.1,5960.7,3879.45,133.2,7525.8,3296.7,616.05,66.6,6943.05,1348.65,2447.55,1481.85,2114.55,283.05,1415.25,2930.4,0,0,1332,1132.2,0,1848.15,0,0,0
"Colorado",282350.7,18814.5,11355.3,13270.05,6993,12154.5,4745.25,4795.2,3746.25,9540.45,1548.45,5744.25,7642.35,1764.9,1981.35,1282.05,1298.7,399.6,1148.85,2813.85,3396.6,2114.55,949.05,0,6993,0,566.1,782.55,715.95,1565.1,0,1981.35,1282.05,316.35,0,249.75,266.4,216.45,0,349.65,2747.25,66.6,949.05,0,416.25,1381.95,149.85,0,4045.95,366.3,0,1348.65,0,0,0,0,0,482.85,0,316.35,0,0,0,0,0
"Connecticut",167182.65,23459.85,15634.35,17465.85,5427.9,3613.05,3246.75,5661,4445.55,2247.75,13786.2,2297.7,399.6,10805.85,1431.9,9640.35,1948.05,3479.85,0,0,0,283.05,999,116.55,865.8,116.55,0,1964.7,732.6,832.5,0,0,233.1,0,3846.15,0,99.9,0,233.1,416.25,1132.2,266.4,0,0,0,299.7,0,0,0,249.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delaware",26257.05,4928.4,2630.7,5394.6,632.7,12437.55,1215.45,1981.35,516.15,0,899.1,249.75,699.3,549.45,0,582.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.25,0,0,16.65,0,0,0,765.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia",30486.15,2297.7,1515.15,5444.55,16.65,1265.4,249.75,3196.8,3230.1,0,582.75,1631.7,0,865.8,266.4,0,1515.15,0,0,0,1132.2,199.8,0,0,0,0,0,449.55,0,0,183.15,0,0,0,0,0,0,0,849.15,0,0,0,299.7,0,0,299.7,0,0,0,0,0,0,432.9,0,0,699.3,0,0,0,0,0,0,0,0,0
"Florida",1695902.4,35697.6,37945.35,218414.7,25391.25,42773.85,17948.7,29403.9,5627.7,26590.05,57042.9,3996,23626.35,18864.45,5477.85,5211.45,3646.35,15700.95,899.1,0,2314.35,7276.05,4312.35,8624.7,6376.95,7792.2,5144.85,2347.65,1998,3130.2,4145.85,1065.6,4195.8,0,1232.1,0,4395.6,0,982.35,0,1282.05,815.85,1648.35,0,0,449.55,0,0,0,832.5,0,549.45,1048.95,0,1215.45,316.35,882.45,0,283.05,166.5,499.5,183.15,0,0,0
"Georgia",279503.55,59257.35,20496.15,33583.05,7775.55,12987,28221.75,4861.8,30303,20812.5,14202.45,20412.9,2947.05,2064.6,5960.7,932.4,3096.9,649.35,632.7,216.45,3546.45,5810.85,2247.75,233.1,2630.7,0,8957.7,0,0,616.05,3280.05,0,915.75,0,183.15,149.85,599.4,0,865.8,2197.8,183.15,333,0,0,0,399.6,0,516.15,0,1731.6,632.7,549.45,532.8,0,0,349.65,0,0,0,0,449.55,0,0,0,0
"Hawaii",14302.35,83.25,9773.55,3180.15,41258.7,1498.5,0,882.45,2314.35,5760.9,2231.1,4562.1,0,316.35,20229.75,0,0,199.8,0,0,0,0,349.65,0,666,0,0,0,0,382.95,0,0,0,5910.75,0,0,0,0,0,0,0,0,0,0,382.95,0,49.95,0,2480.85,0,10739.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idaho",53679.6,1115.55,1798.2,1981.35,299.7,4395.6,0,16.65,116.55,932.4,2281.05,1381.95,2497.5,382.95,66.6,199.8,582.75,99.9,0,133.2,0,0,0,0,382.95,0,0,0,715.95,16.65,0,0,999,0,0,0,16.65,233.1,133.2,0,0,0,0,0,0,0,416.25,0,0,416.25,0,0,0,0,149.85,0,0,0,0,0,0,0,0,0,0
"Illinois",631384.65,82833.75,48235.05,23509.8,27372.6,19746.9,35181.45,29920.05,17582.4,10922.4,6127.2,9373.95,15867.45,19030.95,7126.2,59057.55,4578.75,16150.5,0,0,1498.5,1565.1,4978.35,1065.6,649.35,682.65,10939.05,815.85,11455.2,4162.5,1981.35,2231.1,13070.25,0,5028.3,1348.65,9174.15,0,416.25,149.85,832.5,882.45,4329,0,1648.35,0,0,33.3,0,2131.2,0,249.75,0,0,283.05,299.7,0,0,5611.05,0,199.8,432.9,0,0,0
