"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"1",4840.92,114.24,314.16,1199.52,0,471.24,271.32,599.76,0,2284.8,0,0,0,0,528.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2656.08,0,0,399.84,0,0,0,414.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2727.48,357,0,0,0,0,271.32,0,0,0,0,0,185.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",6525.96,1927.8,0,1842.12,599.76,271.32,228.48,0,0,0,0,985.32,0,0,0,756.84,0,0,842.52,0,0,0,0,0,0,314.16,0,0,0,414.12,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,414.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",35914.2,11352.6,2413.32,7525.56,1028.16,142.8,1442.28,228.48,1056.72,1570.8,314.16,114.24,1185.24,399.84,1028.16,171.36,357,0,0,0,0,0,357,0,856.8,0,0,0,1642.2,0,0,0,0,0,271.32,0,442.68,456.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",4812.36,1156.68,0,456.96,542.64,228.48,0,0,0,0,0,0,0,0,0,0,0,2399.04,0,0,34657.56,0,0,0,0,0,0,0,471.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5811.96,0,228.48,0,0,0,0,0
"7",34786.08,199.92,0,1428,0,0,785.4,0,0,0,456.96,0,271.32,0,0,0,0,142.8,0,0,0,714,0,0,0,257.04,0,0,0,0,0,0,0,0,0,0,0,185.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,0,1785,0,0,0,0,0,0,0
"8",33400.92,614.04,0,1228.08,0,0,342.72,0,0,0,0,0,0,0,0,0,0,4641,0,0,114.24,0,114.24,0,0,0,371.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",15322.44,571.2,342.72,756.84,1442.28,0,257.04,0,614.04,314.16,0,0,499.8,0,0,0,271.32,485.52,0,0,14365.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",21719.88,199.92,0,614.04,0,0,0,0,0,0,0,0,228.48,0,0,0,0,414.12,0,0,0,0,0,0,0,342.72,0,0,0,271.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.08,0,0,0,0,985.32,0,0,0,0,0,0,0
