"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"1",7661.96,0,0,1573.14,0,0,0,0,0,0,684.7,0,0,0,0,0,0,250.5,0,0,0,0,0,207.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",5070.12,193.72,0,0,0,561.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",951.9,0,0,0,0,2077.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",11713.38,1716.76,1523.04,0,0,1232.46,768.2,1315.96,0,0,2217.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",60006.44,4144.94,3189.7,4034.72,2965.92,3637.26,0,1639.94,681.36,2999.32,0,0,1429.52,2835.66,133.6,718.1,317.3,203.74,868.4,0,0,0,140.28,0,0,0,0,400.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",5060.1,0,43.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46115.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3961.24,0,0,0,0,0,2164.32,0,0,0,0,0,0,113.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",31112.1,0,0,0,303.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.28,0,0,297.26,0,0,2077.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",50507.48,0,0,0,267.2,93.52,0,691.38,364.06,0,0,33.4,0,951.9,0,0,0,0,0,1235.8,0,0,434.2,0,0,370.74,0,407.48,0,350.7,0,0,0,0,46.76,0,0,0,0,2611.88,0,0,0,0,0,0,0,0,207.08,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",16182.3,631.26,908.48,240.48,0,814.96,0,0,0,0,0,0,0,0,240.48,0,0,0,0,10965.22,0,0,0,0,400.8,240.48,0,0,0,0,0,0,0,0,217.1,0,0,0,0,0,173.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",37077.34,1102.2,0,0,888.44,557.78,621.24,424.18,260.52,0,0,0,0,0,0,0,0,0,0,4939.86,177.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1833.66,0,0,0,0,0,3520.36,0,0,0,0,0,0,227.12,0,207.08,0,0,0,253.84,0,0,0,0,0,0,0,0
