"","HL","Non-HL","HL_Prop","NonHL_Prop"
"N/A or no schooling",450248.700000001,22544649.3000001,0.0195803738724998,0.9804196261275
"Nursery school to grade 4",399677.76,27044734.8400003,0.0145631741449623,0.985436825855038
"Grade 5, 6, 7, or 8",2083872.76,23198220.5000001,0.0824248506074844,0.917575149392515
"Grade 9",961248.66,7584795.97999996,0.112478778252673,0.887521221747327
"Grade 10",727973.04,8667700.80000009,0.0774795988448225,0.922520401155178
"Grade 11",876903.640000001,9431675.69999995,0.0850654208574976,0.914934579142502
"Grade 12",9344732.16000005,78756765.7999998,0.106067801074651,0.893932198925349
"1 year of college",4610729.72000001,35174742.4000009,0.115889782735093,0.884110217264907
"2 years of college",1745878.12,15156739.6400001,0.103290398256038,0.896709601743962
"4 years of college",4563251.62000002,34342537.9800019,0.117289783009565,0.882710216990435
"5+ years of college",2848191.68,18740222.3000001,0.131931492634828,0.868068507365172
